"","date","total_cases"
"1",2020-01-21,1
"2",2020-01-22,1
"3",2020-01-23,1
"4",2020-01-24,2
"5",2020-01-25,3
"6",2020-01-26,5
"7",2020-01-27,5
"8",2020-01-28,5
"9",2020-01-29,5
"10",2020-01-30,6
"11",2020-01-31,7
"12",2020-02-01,8
"13",2020-02-02,11
"14",2020-02-03,11
"15",2020-02-04,11
"16",2020-02-05,12
"17",2020-02-06,12
"18",2020-02-07,12
"19",2020-02-08,12
"20",2020-02-09,12
"21",2020-02-10,13
"22",2020-02-11,13
"23",2020-02-12,14
"24",2020-02-13,15
"25",2020-02-14,15
"26",2020-02-15,15
"27",2020-02-16,15
"28",2020-02-17,25
"29",2020-02-18,25
"30",2020-02-19,25
"31",2020-02-20,27
"32",2020-02-21,30
"33",2020-02-22,30
"34",2020-02-23,30
"35",2020-02-24,43
"36",2020-02-25,45
"37",2020-02-26,60
"38",2020-02-27,60
"39",2020-02-28,65
"40",2020-02-29,70
"41",2020-03-01,88
"42",2020-03-02,104
"43",2020-03-03,125
"44",2020-03-04,161
"45",2020-03-05,228
"46",2020-03-06,311
"47",2020-03-07,428
"48",2020-03-08,547
"49",2020-03-09,748
"50",2020-03-10,1018
"51",2020-03-11,1263
"52",2020-03-12,1668
"53",2020-03-13,2224
"54",2020-03-14,2898
"55",2020-03-15,3600
"56",2020-03-16,4507
"57",2020-03-17,5906
"58",2020-03-18,8350
"59",2020-03-19,12393
"60",2020-03-20,18012
"61",2020-03-21,24528
"62",2020-03-22,33073
"63",2020-03-23,43505
"64",2020-03-24,53938
"65",2020-03-25,68572
"66",2020-03-26,85570
"67",2020-03-27,102900
"68",2020-03-28,123966
"69",2020-03-29,142486
"70",2020-03-30,163955
"71",2020-03-31,188461
"72",2020-04-01,215391
"73",2020-04-02,245108
"74",2020-04-03,277426
"75",2020-04-04,312525
"76",2020-04-05,338141
"77",2020-04-06,369057
"78",2020-04-07,399394
"79",2020-04-08,431214
"80",2020-04-09,465913
"81",2020-04-10,499386
"82",2020-04-11,531106
"83",2020-04-12,558249
"84",2020-04-13,584018
"85",2020-04-14,610709
"86",2020-04-15,640742
"87",2020-04-16,672355
"88",2020-04-17,703864
"89",2020-04-18,732262
"90",2020-04-19,757596
"91",2020-04-20,784991
"92",2020-04-21,810505
"93",2020-04-22,839336
"94",2020-04-23,873112
"95",2020-04-24,909853
"96",2020-04-25,944261
"97",2020-04-26,970996
"98",2020-04-27,994193
"99",2020-04-28,1018844
"100",2020-04-29,1045399
"101",2020-04-30,1075756
"102",2020-05-01,1109726
"103",2020-05-02,1139200
"104",2020-05-03,1165340
"105",2020-05-04,1187302
"106",2020-05-05,1211011
"107",2020-05-06,1235517
"108",2020-05-07,1263995
"109",2020-05-08,1291643
"110",2020-05-09,1316511
"111",2020-05-10,1336828
"112",2020-05-11,1354449
"113",2020-05-12,1376749
"114",2020-05-13,1397894
"115",2020-05-14,1424856
"116",2020-05-15,1451093
"117",2020-05-16,1474752
"118",2020-05-17,1493766
"119",2020-05-18,1515593
"120",2020-05-19,1536570
"121",2020-05-20,1559640
"122",2020-05-21,1585373
"123",2020-05-22,1609172
"124",2020-05-23,1631440
"125",2020-05-24,1651471
"126",2020-05-25,1670571
"127",2020-05-26,1689467
"128",2020-05-27,1708211
"129",2020-05-28,1730723
"130",2020-05-29,1755271
"131",2020-05-30,1778668
"132",2020-05-31,1799302
"133",2020-06-01,1821199
"134",2020-06-02,1841990
"135",2020-06-03,1861977
"136",2020-06-04,1883593
"137",2020-06-05,1912302
"138",2020-06-06,1934818
"139",2020-06-07,1953434
"140",2020-06-08,1971641
"141",2020-06-09,1990446
"142",2020-06-10,2013298
"143",2020-06-11,2036500
"144",2020-06-12,2061993
"145",2020-06-13,2087327
"146",2020-06-14,2106457
